time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-12T09:08:39.789Z,-5.6763,104.1248,72.959,4.9,mb,72,108,1.751,0.75,us,us7000k7y6,2023-06-12T09:49:31.040Z,"southern Sumatra, Indonesia",earthquake,8.79,7.32,0.07,66,reviewed,us,us
2023-06-12T06:11:48.259Z,-8.5689,157.261,10,5,mb,32,57,2.791,1.11,us,us7000k7xr,2023-06-12T06:32:06.040Z,"69 km SE of Gizo, Solomon Islands",earthquake,5.23,1.911,0.113,25,reviewed,us,us
2023-06-12T03:17:04.190Z,-7.315,130.1976,96.412,4.6,mb,28,129,2.79,0.64,us,us7000k7xe,2023-06-12T03:34:32.040Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,9.17,7.68,0.105,27,reviewed,us,us
2023-06-12T01:23:43.783Z,24.1392,143.0614,10,5,mww,124,81,10.869,0.94,us,us7000k7x0,2023-06-12T01:48:11.040Z,"Volcano Islands, Japan region",earthquake,7.34,1.858,0.075,17,reviewed,us,us
2023-06-11T22:49:57.857Z,-6.6479,155.4774,255.188,4.5,mb,52,127,4.103,0.5,us,us7000k7ws,2023-06-12T20:57:24.040Z,"Bougainville region, Papua New Guinea",earthquake,11.9,8.292,0.08,45,reviewed,us,us
2023-06-11T20:35:23.413Z,-22.0201,-68.787,105.989,4.6,mwr,109,41,0.897,0.58,us,us7000k7w6,2023-06-11T21:10:33.040Z,"Antofagasta, Chile",earthquake,5.1,4.216,0.065,23,reviewed,us,us
2023-06-11T14:32:20.304Z,65.572,-144.4798,13.5,5,ml,,,,0.82,ak,ak0237g5l70e,2023-06-13T14:42:36.970Z,"14 km E of Central, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-06-11T13:08:47.368Z,-56.9287,147.6131,10,5.8,mww,47,75,6.848,0.73,us,us7000k7u0,2023-06-12T13:12:17.041Z,"west of Macquarie Island",earthquake,6.77,1.759,0.098,10,reviewed,us,us
2023-06-11T12:25:38.663Z,24.2047,122.4863,51.676,4.7,mwr,65,74,0.546,0.57,us,us7000k7tt,2023-06-11T12:54:16.861Z,"59 km WSW of Yonakuni, Japan",earthquake,3.01,5.652,0.065,23,reviewed,us,us
2023-06-11T11:36:59.630Z,42.2595,104.6619,10,4.6,mb,43,45,5.708,0.49,us,us7000k7tj,2023-06-11T11:59:10.040Z,"146 km S of Dalandzadgad, Mongolia",earthquake,6.12,1.862,0.082,44,reviewed,us,us
2023-06-11T11:34:53.294Z,-6.2008,150.6882,10,5.2,mb,44,67,4.728,0.61,us,us7000k7ti,2023-06-11T11:54:39.040Z,"94 km SE of Kimbe, Papua New Guinea",earthquake,7.78,1.732,0.043,180,reviewed,us,us
2023-06-11T09:54:45.153Z,42.5322,141.9165,123.267,6.2,mww,152,20,1.056,0.54,us,us7000k7su,2023-06-13T22:39:03.353Z,"Hokkaido, Japan region",earthquake,5.82,3.582,0.032,94,reviewed,us,us
2023-06-11T06:51:48.133Z,-2.9793,136.648,50.039,5,mww,86,55,4.077,0.62,us,us7000k7s6,2023-06-11T07:08:27.040Z,"134 km ENE of Nabire, Indonesia",earthquake,7.91,6.923,0.098,10,reviewed,us,us
2023-06-11T06:36:19.276Z,-5.7393,102.9267,31.384,4.8,mb,46,185,1.37,0.68,us,us7000k7s1,2023-06-11T06:54:05.040Z,"192 km S of Pagar Alam, Indonesia",earthquake,9.5,6.713,0.097,33,reviewed,us,us
2023-06-11T03:56:59.210Z,-5.6977,152.0778,10,4.8,mb,31,90,6.11,1.01,us,us7000k7rd,2023-06-11T04:18:48.040Z,"151 km S of Kokopo, Papua New Guinea",earthquake,4.42,1.872,0.074,59,reviewed,us,us
2023-06-11T02:58:01.652Z,46.2006,153.1275,10,5.2,mww,86,133,7.186,0.86,us,us7000k7qx,2023-06-11T03:17:45.040Z,"Kuril Islands",earthquake,9.58,1.885,0.098,10,reviewed,us,us
2023-06-11T01:42:28.775Z,-0.0167,123.0862,150.802,4.8,mb,59,52,1.066,1.03,us,us7000k7qq,2023-06-11T02:00:22.040Z,"61 km S of Gorontalo, Indonesia",earthquake,5.55,5.511,0.065,75,reviewed,us,us
2023-06-11T00:38:52.455Z,-26.3276,28.1388,10,5,mb,68,40,2.64,0.57,us,us7000k7q8,2023-06-14T04:05:55.100Z,"6 km SSE of Alberton, South Africa",earthquake,7.86,1.811,0.07,64,reviewed,us,us
2023-06-10T23:32:58.802Z,-6.6466,129.8322,148.978,4.5,mb,33,54,2.111,0.46,us,us7000k7pz,2023-06-10T23:54:30.040Z,"Banda Sea",earthquake,9.36,8.702,0.113,23,reviewed,us,us
2023-06-10T22:21:44.774Z,-23.5605,-179.8783,518.463,4.5,mb,51,97,4.938,0.48,us,us7000k7pp,2023-06-10T22:52:41.040Z,"south of the Fiji Islands",earthquake,13.1,8.041,0.041,179,reviewed,us,us
2023-06-10T20:26:04.201Z,10.5721,126.1978,51.685,4.5,mb,34,132,21.941,0.46,us,us7000k7pd,2023-06-10T20:55:46.040Z,"57 km SE of Sulangan, Philippines",earthquake,13.11,4.443,0.113,25,reviewed,us,us
2023-06-10T19:55:33.170Z,-55.9331,-27.9092,101.335,4.6,mb,20,67,5.195,0.63,us,us7000k7pb,2023-06-10T21:03:29.040Z,"South Sandwich Islands region",earthquake,11.23,7.462,0.129,18,reviewed,us,us
2023-06-10T16:20:53.779Z,33.8004,135.2069,46.716,4.6,mb,23,76,1.111,0.57,us,us7000k7nk,2023-06-10T22:07:00.564Z,"1 km SW of Inami, Japan",earthquake,4.52,8.141,0.193,8,reviewed,us,us
2023-06-10T15:07:44.863Z,-5.5951,104.1912,80.858,4.7,mb,30,174,1.738,0.67,us,us7000k7n9,2023-06-10T16:29:23.040Z,"114 km SW of Kotabumi, Indonesia",earthquake,11.74,8.836,0.102,32,reviewed,us,us
